Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
805.0,,,,,,,,multimodaldelta_alpha=0.2_rise=1.0_fall=0.25,23,1.2173913043478262,0.5070392952039391
805.0,,,,,,,,multimodaldelta_alpha=0.2_rise=1.0_fall=0.5,21,1.3333333333333333,0.7766431633476233
805.0,,,,,,,,multimodaldelta_alpha=0.2_rise=1.0_fall=0.75,21,1.3333333333333333,0.7766431633476233
805.0,,,,,,,,multimodaldelta_alpha=0.2_rise=1.0_fall=1.0,9,2.8,4.1182520563948
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.0,13,2.0,0.8451542547285166
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.25,10,2.5454545454545454,1.233150906022776
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.5,9,2.8,1.32664991614216
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.75,9,2.8,1.32664991614216
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=1.0,7,3.5,2.8284271247461903
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.0,15,1.75,0.9013878188659973
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.25,13,2.0,1.1952286093343936
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.5,11,2.3333333333333335,1.3123346456686351
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.75,11,2.3333333333333335,1.3123346456686351
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=1.0,9,2.8,2.7129319932501073
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.0,18,1.5555555555555556,0.8314794192830981
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.25,18,1.5555555555555556,0.8314794192830981
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.5,16,1.75,1.0307764064044151
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.75,16,1.75,1.0307764064044151
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=1.0,14,2.0,2.32992949004287
805.0,,,,,,,,multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.0,23,1.2173913043478262,0.5070392952039391
