Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.375,3.5333235062756425,forage_dynamic,7.757817278194358,2.401346460856158,4.439951044816463,0.6178551975844337,,
delta_rise=0.0_fall=0.0,10.375,3.5333235062756425,forage_phonologicaldynamicglobal,7.739567696477105,2.739885439467365,5.376638761548937,1.9258201521357985,-0.16762686728137033,0.3902167937120317
delta_rise=0.0_fall=0.0,10.375,3.5333235062756425,forage_phonologicaldynamiclocal,7.822316635438468,2.736099691707271,6.06778023251184,2.092669359819248,-0.3255798035765019,0.5315119061384129
delta_rise=0.0_fall=0.0,10.375,3.5333235062756425,forage_phonologicaldynamicswitch,7.72557550948755,2.4121802752777235,4.441176075877814,0.6183234847416714,-0.028434223876193838,0.10872534412708387
delta_rise=0.0_fall=0.25,9.875,3.461845606031557,forage_dynamic,7.732480273629068,2.3992628067702255,4.407512775413612,0.6024356225713262,,
delta_rise=0.0_fall=0.25,9.875,3.461845606031557,forage_phonologicaldynamicglobal,7.710857743069283,2.73870039449573,5.361501898992468,1.9238095630567307,-0.17040074589116452,0.38961558911925737
delta_rise=0.0_fall=0.25,9.875,3.461845606031557,forage_phonologicaldynamiclocal,7.788092693373672,2.735141942054134,6.0076606355834,2.083177423670538,-0.32755424025338975,0.5533302523567163
delta_rise=0.0_fall=0.25,9.875,3.461845606031557,forage_phonologicaldynamicswitch,7.702980013820854,2.412187761641252,4.408829855416037,0.6027069606308076,-0.025092519437037872,0.10590372540680386
delta_rise=0.0_fall=0.5,8.6875,2.8986796563263075,forage_dynamic,7.683477089838253,2.402866390932866,4.329771099984886,0.5640535490412684,,
delta_rise=0.0_fall=0.5,8.6875,2.8986796563263075,forage_phonologicaldynamicglobal,7.656210629940634,2.7434546567037503,5.307197413266474,1.929967473245875,-0.17876688088603768,0.4095754003596103
delta_rise=0.0_fall=0.5,8.6875,2.8986796563263075,forage_phonologicaldynamiclocal,7.721840429815931,2.7339226605260176,5.862985702840789,2.046625864057015,-0.3199604358480095,0.5516462781087184
delta_rise=0.0_fall=0.5,8.6875,2.8986796563263075,forage_phonologicaldynamicswitch,7.655258198496023,2.4121760653448616,4.331072673134004,0.5641728762019844,-0.009389839913168555,0.1502464048787831
