SID,entry
870,roadrunner
870,coyote
870,polar bear
870,penguin
870,pelican
870,stork
872,dog
872,hanover hound
872,german shepherd
872,border collie
872,maine coon
872,savannah cat
872,leopard
872,lion
872,tiger
872,bear
872,black bear
872,brown bear
872,wolverine
872,jack russell terrier
872,wiener dog
872,guinea pig
872,boa constrictor
872,anaconda
872,lizard
872,gila monster
872,roadrunner
872,robin
872,red tailed hawk
872,robin
875,dog
875,cat
875,rabbit
875,horse
875,pig
875,cow
875,chicken
875,horse
875,fish
875,turtle
875,guinea pig
875,hamster
875,rat
875,mouse
875,gerbil
875,giraffe
875,elephant
875,zebra
875,antelope
876,dog
876,cat
876,fox
876,goat
876,sheep
876,horse
876,cow
876,pig
876,giraffe
876,zebra
876,lion
876,tiger
876,ferret
876,squirrel
876,raccoon
876,zebra
876,cheetah
876,duck
876,goose
876,penguin
901,dog
901,bee
901,bat
901,cat
901,rat
901,flamingo
901,kangaroo
901,giraffe
901,elephant
901,rhino
901,moose
901,bear
901,possum
901,raccoon
901,ferret
901,turtle
901,lizard
901,shark
901,barracuda
901,lion
901,tiger
901,hyena
901,ostrich
901,bluebird
901,monkey
901,gorilla
901,panda
901,crane
901,alligator
901,llama
901,leopard
901,goat
909,cat
909,dog
909,mouse
909,rat
909,gerbil
909,hamster
909,cow
909,horse
909,sheep
909,pig
909,goat
909,lion
909,tiger
909,bear
909,jaguar
909,leopard
909,wolf
909,aardvark
909,capybara
909,wombat
909,kangaroo
909,echidna
909,dingo
909,snake
912,dog
912,cat
912,hamster
912,spider
912,bird
912,scorpion
912,fish
912,dolphin
912,whale
912,orca
912,caterpillar
912,worm
912,snail
912,sheep
912,cow
912,pig
912,ostrich
912,lion
912,jaguar
912,cheetah
912,leopard
912,sea star
