Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
805,forage_static,8.2036574147072,3.5805651630389654,,156.06093006564032
805,forage_dynamic_simdrop,8.279701366439824,4.0865943108366345,,157.4156935548452
805,forage_dynamic_multimodal_alpha=0.0,8.169029172843935,3.479035719435297,,158.20734054125435
805,forage_dynamic_multimodal_alpha=0.1,8.26878481205754,3.805289795220995,,160.15041041892007
805,forage_dynamic_multimodal_alpha=0.2,8.268798691728952,3.805285987608031,,160.1504104188657
805,forage_dynamic_multimodal_alpha=0.30000000000000004,8.268785731654459,3.805286381630073,,160.1504104189072
805,forage_dynamic_multimodal_alpha=0.4,8.268786708647104,3.805287154694355,,160.15041041889847
805,forage_dynamic_multimodal_alpha=0.5,8.278207690221034,3.9382378660554704,,158.35560481400512
805,forage_dynamic_multimodal_alpha=0.6000000000000001,8.307146967279452,4.070462195996152,,158.44764267043308
805,forage_dynamic_multimodal_alpha=0.7000000000000001,8.279711999793903,4.086594122667602,,157.4156935548304
805,forage_dynamic_multimodal_alpha=0.8,8.27971678390911,4.086593424727099,,157.41569355484572
805,forage_dynamic_multimodal_alpha=0.9,8.2796941733225,4.086593314000144,,157.41569355489537
805,forage_dynamic_multimodal_alpha=1.0,8.2797020180031,4.086591839733413,,157.41569355484418
805,forage_dynamic_norms_associative,8.675114745683253,3.932847452731573,,162.3680411324682
805,forage_dynamic_norms_categorical,8.59041025072544,3.943377758025138,,163.11843585631246
805,forage_dynamic_delta_rise=0.0_fall=0.0,8.423654466903645,4.232967232935537,,159.2901932020749
805,forage_dynamic_delta_rise=0.0_fall=0.25,8.350122606266956,4.1831194545924175,,158.66643881697038
805,forage_dynamic_delta_rise=0.0_fall=0.5,8.292924654344866,4.113831855322596,,158.31516652258216
805,forage_dynamic_delta_rise=0.0_fall=0.75,8.290353429896053,4.017377658188972,,157.57918223470477
805,forage_dynamic_delta_rise=0.0_fall=1.0,8.275749423443369,3.8635309609039474,,158.47566637868798
805,forage_dynamic_delta_rise=0.25_fall=0.0,8.42365423902296,4.232964257584195,,159.29019320206865
805,forage_dynamic_delta_rise=0.25_fall=0.25,8.350116780604456,4.183116015863749,,158.66643881697667
805,forage_dynamic_delta_rise=0.25_fall=0.5,8.292935051793243,4.113830313045448,,158.31516652253492
805,forage_dynamic_delta_rise=0.25_fall=0.75,8.290356252294787,4.017377181477288,,157.57918223470222
