Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_dynamic,5.2126242883596,1.4110232121446262,4.536927346007404,0.5707333890995488,,
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_phonologicaldynamicglobal,5.099358477596021,1.3618110076007945,5.361703468363337,0.947388255072378,-0.1336039572568726,0.09643812583912796
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_phonologicaldynamiclocal,5.1973201829750275,1.3996209435076494,6.085391803722104,1.628830913784676,-0.294427119185442,0.45467037615475964
delta_rise=0.0_fall=0.0,10.395833333333334,2.956205220473632,forage_phonologicaldynamicswitch,5.172142412584326,1.3954360407764184,4.537732668294147,0.5701449188055855,-0.11032437063655447,0.3672852124656891
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_dynamic,5.192816753196491,1.3982364744294538,4.502565379976636,0.570624596245351,,
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_phonologicaldynamicglobal,5.0786872053678715,1.3471745333245335,5.346391808630145,0.945706078318693,-0.13739105938252952,0.09726318649738482
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_phonologicaldynamiclocal,5.1702989978585565,1.3751111219973755,5.961196693962999,1.4921293020614894,-0.2840232971059935,0.45339972059222194
delta_rise=0.0_fall=0.25,9.713541666666666,2.8497485193019907,forage_phonologicaldynamicswitch,5.152359593663071,1.3844099648772996,4.5033770658925505,0.569945943163203,-0.11227264990341491,0.3549287381317024
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_dynamic,5.168174567379393,1.3954022616845616,4.454955549312795,0.5713387728982596,,
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_phonologicaldynamicglobal,5.051660062827536,1.3423399644117509,5.315438407432169,0.9604582683148883,-0.14117411698448618,0.09878355043084434
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_phonologicaldynamiclocal,5.1351602587287255,1.3651531349723276,5.859415293653598,1.4282828137132921,-0.2716506280860665,0.42565798862185383
delta_rise=0.0_fall=0.5,8.921875,2.757403032633242,forage_phonologicaldynamicswitch,5.129911350214124,1.381158435378961,4.4557560264452425,0.5708232428966842,-0.1475647272759897,0.4662343582226516
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_dynamic,5.139667175462612,1.3963923824676971,4.34719180300529,0.5675606664670497,,
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_phonologicaldynamicglobal,5.02107675294578,1.3429483653613346,5.20807011843586,0.961070234214925,-0.1439023512058715,0.09856255274736192
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_phonologicaldynamiclocal,5.089969042841197,1.3645002378145306,5.632273775778152,1.331604708368726,-0.22657093070775303,0.28538852478395066
delta_rise=0.0_fall=0.75,7.630208333333333,2.5194501628855233,forage_phonologicaldynamicswitch,5.105868185743144,1.3818567993957913,4.3479213283622276,0.5671071254544318,-0.22133112404180363,0.6538661116384361
delta_rise=0.0_fall=1.0,6.442708333333333,2.2928441577214143,forage_dynamic,5.100792328752442,1.3831753413306698,4.232371358433434,0.5769970622235238,,
delta_rise=0.0_fall=1.0,6.442708333333333,2.2928441577214143,forage_phonologicaldynamicglobal,4.981874889426186,1.3281778441489762,5.076126054048043,0.9601860722994426,-0.14419233920192928,0.09815463332267195
