"Subject","Fluency_Item","Switch_Value","Switch_Method","v"
801,"bird",2,"simdrop","V1"
801,"cat",0,"simdrop","V1"
801,"dog",0,"simdrop","V1"
801,"horse",0,"simdrop","V1"
801,"duck",0,"simdrop","V1"
801,"butterfly",0,"simdrop","V1"
801,"squirrel",1,"simdrop","V1"
801,"monkey",0,"simdrop","V1"
801,"ant",1,"simdrop","V1"
801,"anteater",0,"simdrop","V1"
801,"beetle",0,"simdrop","V1"
801,"pig",1,"simdrop","V1"
801,"cow",0,"simdrop","V1"
801,"chicken",1,"simdrop","V1"
801,"hen",0,"simdrop","V1"
801,"bull",1,"simdrop","V1"
801,"frog",2,"simdrop","V1"
801,"bird",2,"delta_rise=0.0_fall=1.0","V1"
801,"cat",0,"delta_rise=0.0_fall=1.0","V1"
801,"dog",0,"delta_rise=0.0_fall=1.0","V1"
801,"horse",0,"delta_rise=0.0_fall=1.0","V1"
801,"duck",1,"delta_rise=0.0_fall=1.0","V1"
801,"butterfly",1,"delta_rise=0.0_fall=1.0","V1"
801,"squirrel",1,"delta_rise=0.0_fall=1.0","V1"
801,"monkey",0,"delta_rise=0.0_fall=1.0","V1"
801,"ant",0,"delta_rise=0.0_fall=1.0","V1"
801,"anteater",0,"delta_rise=0.0_fall=1.0","V1"
801,"beetle",1,"delta_rise=0.0_fall=1.0","V1"
801,"pig",1,"delta_rise=0.0_fall=1.0","V1"
801,"cow",0,"delta_rise=0.0_fall=1.0","V1"
801,"chicken",0,"delta_rise=0.0_fall=1.0","V1"
801,"hen",0,"delta_rise=0.0_fall=1.0","V1"
801,"bull",1,"delta_rise=0.0_fall=1.0","V1"
801,"frog",0,"delta_rise=0.0_fall=1.0","V1"
801,"bird",2,"troyerextended","V1"
801,"cat",0,"troyerextended","V1"
801,"dog",0,"troyerextended","V1"
801,"horse",1,"troyerextended","V1"
801,"duck",1,"troyerextended","V1"
801,"butterfly",1,"troyerextended","V1"
801,"squirrel",1,"troyerextended","V1"
801,"monkey",1,"troyerextended","V1"
801,"ant",1,"troyerextended","V1"
801,"anteater",1,"troyerextended","V1"
801,"beetle",1,"troyerextended","V1"
801,"pig",1,"troyerextended","V1"
801,"cow",0,"troyerextended","V1"
801,"chicken",0,"troyerextended","V1"
801,"hen",0,"troyerextended","V1"
801,"bull",0,"troyerextended","V1"
801,"frog",1,"troyerextended","V1"
802,"leopard",2,"simdrop","V1"
802,"jaguar",0,"simdrop","V1"
802,"ocelot",0,"simdrop","V1"
802,"pigeon",1,"simdrop","V1"
802,"dove",0,"simdrop","V1"
802,"dog",1,"simdrop","V1"
802,"cat",0,"simdrop","V1"
802,"lizard",1,"simdrop","V1"
802,"chicken",0,"simdrop","V1"
802,"jungle fowl",0,"simdrop","V1"
802,"pelican",1,"simdrop","V1"
802,"seagull",0,"simdrop","V1"
802,"fish",2,"simdrop","V1"
802,"leopard",2,"delta_rise=0.0_fall=1.0","V1"
802,"jaguar",0,"delta_rise=0.0_fall=1.0","V1"
802,"ocelot",0,"delta_rise=0.0_fall=1.0","V1"
802,"pigeon",1,"delta_rise=0.0_fall=1.0","V1"
802,"dove",0,"delta_rise=0.0_fall=1.0","V1"
802,"dog",1,"delta_rise=0.0_fall=1.0","V1"
802,"cat",0,"delta_rise=0.0_fall=1.0","V1"
802,"lizard",1,"delta_rise=0.0_fall=1.0","V1"
802,"chicken",0,"delta_rise=0.0_fall=1.0","V1"
802,"jungle fowl",0,"delta_rise=0.0_fall=1.0","V1"
802,"pelican",0,"delta_rise=0.0_fall=1.0","V1"
802,"seagull",0,"delta_rise=0.0_fall=1.0","V1"
802,"fish",1,"delta_rise=0.0_fall=1.0","V1"
802,"leopard",2,"troyerextended","V1"
802,"jaguar",0,"troyerextended","V1"
802,"ocelot",0,"troyerextended","V1"
802,"pigeon",1,"troyerextended","V1"
802,"dove",0,"troyerextended","V1"
802,"dog",1,"troyerextended","V1"
802,"cat",0,"troyerextended","V1"
802,"lizard",1,"troyerextended","V1"
