"version","Model","Beta_Frequency","Beta_Phonological","Beta_Semantic"
"V1","forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0",5.03732557564999,-0.218659052704758,5.41808874875044
"V1","forage_phonologicaldynamiclocal_simdrop",4.99814939384138,-0.197653078573595,5.30298296479164
"V1","forage_phonologicaldynamiclocal_troyerextended",5.1222142012777,-0.261886938764045,5.92476705426535
"V2","forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0",5.1623247220267,-0.27176967898071,5.78280827731929
"V2","forage_phonologicaldynamiclocal_simdrop",5.14150745205874,-0.324821177377763,5.58797370048477
"V2","forage_phonologicaldynamiclocal_troyerextended",5.20634258209433,-0.514016151453121,6.36171437421867
