subject	dataset	total_responses	total_unique_responses	repeats	mean_overall_semantic_sim	mean_overall_phonetic_sim	mean_frequency	mean_cluster_semantic_sim_troyerF	mean_switch_semantic_sim_troyerF	mean_cluster_phon_sim_troyerF	mean_switch_phon_sim_troyerF	pc_switches_troyerF	switch_count_troyerF	mean_cluster_size_with_singletons_troyerF	pc_clustered_responses_no_singletons_by_total_troyerF	mean_cluster_semantic_sim_delta	mean_switch_semantic_sim_delta	mean_cluster_phon_sim_delta	mean_switch_phon_sim_delta	pc_switches_delta	switch_count_delta	mean_cluster_size_with_singletons_delta	pc_clustered_responses_no_singletons_by_total_delta
5504	subject_switch_lexical_results_v1	19	18	1	0.407251	0.082267	3.779474	0.457707	0.356795	0.125889	0.038644	50.000000	9	1.900000	66.666667	0.442625	0.315279	0.094346	0.050860	27.777778	5	3.166667	94.444444
5505	subject_switch_lexical_results_v1	20	20	0	0.394887	0.049253	3.874000	0.444180	0.359037	0.036537	0.058500	57.894737	11	1.666667	63.157895	0.434479	0.309104	0.071938	0.000100	31.578947	6	2.857143	94.736842
5506	subject_switch_lexical_results_v1	13	13	0	0.413269	0.119100	3.943077	0.426655	0.406576	0.077450	0.139925	66.666667	8	1.444444	50.000000	0.441337	0.357132	0.126537	0.104225	33.333333	4	2.600000	108.333333
5507	subject_switch_lexical_results_v1	11	11	0	0.354969	0.048650	4.034545	0.623759	0.325103	0.000100	0.054044	90.000000	9	1.100000	20.000000	0.389757	0.273797	0.040900	0.066733	30.000000	3	2.750000	90.000000
5508	subject_switch_lexical_results_v1	23	22	1	0.390583	0.067214	3.756522	0.483576	0.297591	0.069109	0.065318	50.000000	11	1.916667	68.181818	0.427308	0.265718	0.062459	0.083380	22.727273	5	3.833333	90.909091
5509	subject_switch_lexical_results_v1	19	19	0	0.441218	0.060789	3.846316	0.512770	0.328780	0.035800	0.100057	38.888889	7	2.375000	83.333333	0.517063	0.322033	0.045536	0.084757	38.888889	7	2.375000	88.888889
5510	subject_switch_lexical_results_v1	16	16	0	0.398589	0.033420	3.731875	0.558103	0.340583	0.062575	0.022818	73.333333	11	1.333333	53.333333	0.430191	0.335384	0.050080	0.000100	33.333333	5	2.666667	100.000000
5511	subject_switch_lexical_results_v1	18	17	1	0.432149	0.039365	3.917222	0.464478	0.372877	0.036445	0.044717	35.294118	6	2.571429	88.235294	0.454079	0.360875	0.040462	0.035800	23.529412	4	3.600000	100.000000
5512	subject_switch_lexical_results_v1	13	13	0	0.445017	0.053650	4.096923	0.475215	0.414819	0.023900	0.083400	50.000000	6	1.857143	83.333333	0.472835	0.305926	0.039370	0.125050	16.666667	2	4.333333	108.333333
5513	subject_switch_lexical_results_v1	26	26	0	0.488169	0.121312	3.842692	0.545063	0.341870	0.143461	0.064357	28.000000	7	3.250000	100.000000	0.545353	0.341123	0.143461	0.064357	28.000000	7	3.250000	100.000000
5514	subject_switch_lexical_results_v1	17	17	0	0.401337	0.034013	3.897059	0.473167	0.329506	0.042937	0.025087	50.000000	8	1.888889	68.750000	0.446651	0.301645	0.049427	0.000100	31.250000	5	2.833333	100.000000
5515	subject_switch_lexical_results_v1	20	20	0	0.454346	0.108847	3.894000	0.542835	0.374705	0.113322	0.104820	52.631579	10	1.818182	73.684211	0.495278	0.339736	0.099407	0.135280	26.315789	5	3.333333	105.263158
