subject	dataset	total_responses	total_unique_responses	repeats	mean_overall_semantic_sim	mean_overall_phonetic_sim	mean_frequency	mean_cluster_semantic_sim_troyerF	mean_switch_semantic_sim_troyerF	mean_cluster_phon_sim_troyerF	mean_switch_phon_sim_troyerF	pc_switches_troyerF	switch_count_troyerF	mean_cluster_size_with_singletons_troyerF	pc_clustered_responses_no_singletons_by_total_troyerF	mean_cluster_semantic_sim_delta	mean_switch_semantic_sim_delta	mean_cluster_phon_sim_delta	mean_switch_phon_sim_delta	pc_switches_delta	switch_count_delta	mean_cluster_size_with_singletons_delta	pc_clustered_responses_no_singletons_by_total_delta
89	subject_switch_lexical_results_v1	22	22	0	0.462016	0.096210	4.013182	0.508771	0.368506	0.126414	0.035800	33.333333	7	2.750000	90.476190	0.521030	0.366117	0.110500	0.072987	38.095238	8	2.444444	90.476190
90	subject_switch_lexical_results_v1	23	23	0	0.389502	0.066859	3.563478	0.495955	0.315804	0.076289	0.060331	59.090909	13	1.642857	63.636364	0.435948	0.289976	0.073580	0.052457	31.818182	7	2.875000	86.363636
91	subject_switch_lexical_results_v1	23	23	0	0.428610	0.041968	3.861304	0.494597	0.333296	0.052285	0.027067	40.909091	9	2.300000	81.818182	0.444903	0.393697	0.054847	0.014371	31.818182	7	2.875000	81.818182
92	subject_switch_lexical_results_v1	29	28	1	0.395323	0.082407	3.717241	0.436517	0.340397	0.093075	0.068183	42.857143	12	2.230769	78.571429	0.451393	0.308668	0.087606	0.074373	39.285714	11	2.416667	85.714286
93	subject_switch_lexical_results_v1	35	35	0	0.429558	0.080297	3.741714	0.472191	0.351398	0.094832	0.053650	35.294118	12	2.692308	88.235294	0.453506	0.337188	0.078115	0.088714	20.588235	7	4.375000	100.000000
94	subject_switch_lexical_results_v1	23	22	1	0.413023	0.092864	3.583043	0.504471	0.349713	0.162067	0.044954	59.090909	13	1.642857	59.090909	0.455801	0.321355	0.113940	0.047700	31.818182	7	2.875000	95.454545
95	subject_switch_lexical_results_v1	23	23	0	0.491765	0.128091	3.805217	0.552402	0.385651	0.101264	0.175037	36.363636	8	2.555556	95.454545	0.537577	0.411594	0.151243	0.087575	36.363636	8	2.555556	95.454545
96	subject_switch_lexical_results_v1	14	14	0	0.394633	0.058192	3.309293	0.409357	0.388090	0.000100	0.084011	69.230769	9	1.400000	53.846154	0.431827	0.310948	0.084011	0.000100	30.769231	4	2.800000	100.000000
97	subject_switch_lexical_results_v1	33	32	1	0.427691	0.099581	3.642727	0.449687	0.349133	0.103452	0.085757	21.875000	7	4.125000	93.750000	0.457968	0.319555	0.105736	0.077600	21.875000	7	4.125000	103.125000
98	subject_switch_lexical_results_v1	24	24	0	0.436861	0.065130	4.020000	0.489528	0.354935	0.053136	0.083789	39.130435	9	2.400000	86.956522	0.459804	0.354266	0.075261	0.028660	21.739130	5	4.000000	95.652174
99	subject_switch_lexical_results_v1	13	13	0	0.441675	0.037783	4.103077	0.539584	0.392721	0.035800	0.038775	66.666667	8	1.444444	50.000000	0.490944	0.392407	0.047700	0.027867	50.000000	6	1.857143	75.000000
100	subject_switch_lexical_results_v1	20	19	1	0.410718	0.109953	4.117000	0.511090	0.320383	0.134700	0.087680	52.631579	10	1.818182	73.684211	0.461269	0.301191	0.160654	0.000100	31.578947	6	2.857143	94.736842
101	subject_switch_lexical_results_v1	19	18	1	0.401395	0.087294	4.032105	0.505446	0.361375	0.098380	0.083031	72.222222	13	1.357143	50.000000	0.417687	0.359036	0.068654	0.135760	27.777778	5	3.166667	94.444444
104	subject_switch_lexical_results_v1	24	24	0	0.407899	0.137422	3.795417	0.507407	0.331354	0.122210	0.149123	56.521739	13	1.714286	65.217391	0.477662	0.277092	0.117207	0.175325	34.782609	8	2.666667	86.956522
105	subject_switch_lexical_results_v1	25	25	0	0.466223	0.025783	3.998800	0.507837	0.407964	0.012000	0.045080	41.666667	10	2.272727	87.500000	0.493758	0.361590	0.032542	0.000100	20.833333	5	4.166667	100.000000
106	subject_switch_lexical_results_v1	19	19	0	0.482912	0.083928	4.115263	0.517094	0.429198	0.061545	0.119100	38.888889	7	2.375000	83.333333	0.513095	0.435483	0.076691	0.095300	38.888889	7	2.375000	88.888889
801	subject_switch_lexical_results_v1	17	17	0	0.441480	0.100212	4.090588	0.515614	0.396999	0.066733	0.120300	62.500000	10	1.545455	50.000000	0.499457	0.344850	0.115060	0.075467	37.500000	6	2.428571	87.500000
802	subject_switch_lexical_results_v1	13	13	0	0.416597	0.076908	3.755385	0.468519	0.312752	0.048675	0.133375	33.333333	4	2.600000	100.000000	0.463417	0.322956	0.073662	0.083400	33.333333	4	2.600000	100.000000
803	subject_switch_lexical_results_v1	21	21	0	0.492626	0.041745	3.614762	0.528781	0.348002	0.039662	0.050075	20.000000	4	4.200000	100.000000	0.570017	0.376538	0.027867	0.062562	40.000000	8	2.333333	100.000000
804	subject_switch_lexical_results_v1	24	24	0	0.429637	0.062187	3.746250	0.505904	0.310999	0.080000	0.034478	39.130435	9	2.400000	86.956522	0.456495	0.302060	0.066489	0.041750	17.391304	4	4.800000	104.347826
805	subject_switch_lexical_results_v1	17	17	0	0.377364	0.028212	4.073529	0.514641	0.331604	0.062575	0.016758	75.000000	12	1.307692	50.000000	0.433599	0.305061	0.027867	0.028657	43.750000	7	2.125000	87.500000
806	subject_switch_lexical_results_v1	22	22	0	0.430049	0.047186	3.537273	0.503996	0.331453	0.061350	0.028300	42.857143	9	2.200000	80.952381	0.483835	0.322476	0.060529	0.020500	33.333333	7	2.750000	90.476190
807	subject_switch_lexical_results_v1	27	26	1	0.432582	0.113662	3.743333	0.507723	0.357441	0.099415	0.127908	50.000000	13	1.928571	84.615385	0.484977	0.348751	0.106300	0.125440	38.461538	10	2.454545	92.307692
808	subject_switch_lexical_results_v1	25	25	0	0.469595	0.073000	3.759600	0.504540	0.364761	0.097300	0.000100	25.000000	6	3.571429	95.833333	0.495435	0.406843	0.103018	0.000100	29.166667	7	3.125000	83.333333
809	subject_switch_lexical_results_v1	22	22	0	0.452477	0.078862	3.787273	0.481852	0.379039	0.074407	0.090000	28.571429	6	3.142857	95.238095	0.506261	0.380764	0.065875	0.096178	42.857143	9	2.200000	90.476190
810	subject_switch_lexical_results_v1	8	8	0	0.467534	0.071500	4.367500	0.576259	0.424044	0.125050	0.050080	71.428571	5	1.333333	57.142857	0.543451	0.366311	0.125050	0.000100	42.857143	3	2.000000	85.714286
811	subject_switch_lexical_results_v1	15	15	0	0.451128	0.046500	3.746667	0.476515	0.358042	0.059155	0.000100	21.428571	3	3.750000	100.000000	0.468235	0.348487	0.043825	0.062550	14.285714	2	5.000000	107.142857
812	subject_switch_lexical_results_v1	25	24	1	0.451769	0.138821	3.430800	0.510877	0.274447	0.160078	0.075050	25.000000	6	3.571429	83.333333	0.524062	0.366332	0.208915	0.055982	45.833333	11	2.083333	83.333333
813	subject_switch_lexical_results_v1	19	18	1	0.391384	0.158317	3.784737	0.481370	0.301398	0.243422	0.073211	50.000000	9	1.900000	77.777778	0.423267	0.279794	0.194600	0.031325	22.222222	4	3.800000	94.444444
814	subject_switch_lexical_results_v1	23	23	0	0.443016	0.114509	3.606957	0.513700	0.319318	0.133000	0.082150	36.363636	8	2.555556	95.454545	0.481300	0.312847	0.125294	0.077840	22.727273	5	3.833333	104.545455
815	subject_switch_lexical_results_v1	21	20	1	0.408638	0.091725	3.791905	0.486759	0.356558	0.072987	0.104217	60.000000	12	1.615385	65.000000	0.449839	0.312502	0.089350	0.097267	30.000000	6	3.000000	95.000000
816	subject_switch_lexical_results_v1	24	24	0	0.470211	0.103583	3.719167	0.511496	0.392801	0.104813	0.101275	34.782609	8	2.666667	95.652174	0.518287	0.380068	0.127840	0.058100	34.782609	8	2.666667	95.652174
817	subject_switch_lexical_results_v1	26	26	0	0.441338	0.049224	3.707692	0.482481	0.396767	0.015477	0.085783	48.000000	12	2.000000	76.000000	0.481120	0.339040	0.046117	0.057214	28.000000	7	3.250000	96.000000
818	subject_switch_lexical_results_v1	20	20	0	0.352541	0.080326	3.841500	0.413750	0.308026	0.062575	0.093236	57.894737	11	1.666667	57.894737	0.375513	0.288219	0.073279	0.100060	26.315789	5	3.333333	89.473684
819	subject_switch_lexical_results_v1	18	17	1	0.414533	0.054000	4.263333	0.496718	0.341480	0.052163	0.055633	52.941176	9	1.800000	82.352941	0.472348	0.275777	0.076458	0.000100	29.411765	5	3.000000	105.882353
820	subject_switch_lexical_results_v1	31	27	4	0.462098	0.054520	3.976774	0.509049	0.352544	0.069910	0.018611	30.000000	9	3.100000	93.333333	0.539804	0.345539	0.061183	0.044525	40.000000	12	2.384615	93.333333
821	subject_switch_lexical_results_v1	20	20	0	0.410973	0.113968	4.067000	0.445323	0.372807	0.093880	0.136289	47.368421	9	2.000000	84.210526	0.468183	0.287018	0.104277	0.134967	31.578947	6	2.857143	89.473684
822	subject_switch_lexical_results_v1	24	22	2	0.447831	0.070122	3.700417	0.484571	0.363854	0.068925	0.072857	30.434783	7	3.000000	86.956522	0.468771	0.372449	0.056233	0.120120	21.739130	5	4.000000	100.000000
823	subject_switch_lexical_results_v1	24	24	0	0.379982	0.078017	3.807917	0.406517	0.319331	0.099612	0.028657	30.434783	7	3.000000	91.304348	0.404905	0.323015	0.091281	0.047700	30.434783	7	3.000000	100.000000
824	subject_switch_lexical_results_v1	19	18	1	0.459187	0.063767	3.931053	0.489004	0.421915	0.048650	0.082662	44.444444	8	2.111111	77.777778	0.476021	0.400267	0.055179	0.093825	22.222222	4	3.800000	94.444444
825	subject_switch_lexical_results_v1	25	22	3	0.463648	0.070058	3.819600	0.479212	0.425850	0.081718	0.041743	29.166667	7	3.125000	91.666667	0.495994	0.385093	0.059106	0.096657	29.166667	7	3.125000	91.666667
826	subject_switch_lexical_results_v1	18	18	0	0.413888	0.049100	3.797222	0.459284	0.349036	0.033420	0.071500	41.176471	7	2.250000	82.352941	0.465683	0.289580	0.048692	0.050080	29.411765	5	3.000000	94.117647
827	subject_switch_lexical_results_v1	21	21	0	0.458450	0.103275	3.703333	0.517474	0.369913	0.078042	0.141125	40.000000	8	2.333333	85.000000	0.519211	0.367308	0.066142	0.158975	40.000000	8	2.333333	95.000000
828	subject_switch_lexical_results_v1	24	24	0	0.437584	0.070835	4.053750	0.479929	0.358187	0.057293	0.096225	34.782609	8	2.666667	91.304348	0.493148	0.351151	0.028657	0.136444	39.130435	9	2.400000	86.956522
829	subject_switch_lexical_results_v1	15	14	1	0.414415	0.050764	4.022000	0.467231	0.319345	0.078911	0.000100	35.714286	5	2.500000	78.571429	0.473960	0.369756	0.023900	0.070912	57.142857	8	1.666667	71.428571
830	subject_switch_lexical_results_v1	29	29	0	0.389937	0.067096	3.947241	0.437851	0.334652	0.039607	0.098815	46.428571	13	2.071429	82.142857	0.414933	0.337169	0.067642	0.065944	32.142857	9	2.900000	89.285714
831	subject_switch_lexical_results_v1	23	21	2	0.433475	0.100445	4.064348	0.501415	0.351947	0.132008	0.062570	45.454545	10	2.090909	86.363636	0.499015	0.318780	0.131014	0.046950	36.363636	8	2.555556	95.454545
832	subject_switch_lexical_results_v1	17	17	0	0.456975	0.054394	4.187647	0.515283	0.382008	0.027867	0.088500	43.750000	7	2.125000	81.250000	0.482607	0.380080	0.044725	0.083400	25.000000	4	3.400000	100.000000
833	subject_switch_lexical_results_v1	13	13	0	0.470594	0.087375	3.990769	0.535338	0.424348	0.147680	0.044300	58.333333	7	1.625000	75.000000	0.509206	0.354759	0.097956	0.055633	25.000000	3	3.250000	100.000000
834	subject_switch_lexical_results_v1	16	16	0	0.409193	0.058487	4.138750	0.464059	0.346489	0.067925	0.047700	46.666667	7	2.000000	80.000000	0.439076	0.327015	0.049427	0.083400	26.666667	4	3.200000	106.666667
835	subject_switch_lexical_results_v1	18	18	0	0.373360	0.027435	3.926667	0.413424	0.337748	0.017950	0.035867	52.941176	9	1.800000	76.470588	0.443971	0.293922	0.015967	0.040337	47.058824	8	2.000000	76.470588
837	subject_switch_lexical_results_v1	24	22	2	0.475691	0.079774	3.746667	0.500371	0.386845	0.079694	0.080060	21.739130	5	4.000000	100.000000	0.504264	0.394735	0.057918	0.141700	26.086957	6	3.428571	95.652174
838	subject_switch_lexical_results_v1	21	21	0	0.464275	0.093365	4.209048	0.524493	0.404057	0.157560	0.029170	50.000000	10	1.909091	80.000000	0.504390	0.343929	0.105073	0.058240	25.000000	5	3.500000	95.000000
839	subject_switch_lexical_results_v1	23	23	0	0.477242	0.115932	4.065217	0.551154	0.347895	0.149993	0.056325	36.363636	8	2.555556	90.909091	0.514939	0.349074	0.140200	0.033420	22.727273	5	3.833333	95.454545
840	subject_switch_lexical_results_v1	27	26	1	0.423484	0.072412	3.667778	0.515719	0.315876	0.088221	0.053967	46.153846	12	2.076923	84.615385	0.491245	0.331082	0.100193	0.034527	42.307692	11	2.250000	88.461538
841	subject_switch_lexical_results_v1	29	29	0	0.441014	0.076643	3.817586	0.522118	0.359911	0.056707	0.096579	50.000000	14	1.933333	78.571429	0.468878	0.338848	0.062627	0.128033	21.428571	6	4.142857	103.571429
842	subject_switch_lexical_results_v1	22	22	0	0.440124	0.097729	3.857727	0.542738	0.363163	0.122267	0.079325	57.142857	12	1.692308	66.666667	0.478540	0.317192	0.090681	0.120280	23.809524	5	3.666667	100.000000
843	subject_switch_lexical_results_v1	19	19	0	0.435652	0.075122	3.761579	0.471605	0.390712	0.109330	0.032363	44.444444	8	2.111111	83.333333	0.457204	0.360224	0.075736	0.072975	22.222222	4	3.800000	94.444444
844	subject_switch_lexical_results_v1	28	27	1	0.449805	0.064404	3.930000	0.493169	0.376087	0.043776	0.099470	37.037037	10	2.545455	81.481481	0.476227	0.357329	0.069176	0.047700	22.222222	6	4.000000	96.296296
845	subject_switch_lexical_results_v1	14	14	0	0.366884	0.036069	4.056429	0.479018	0.333244	0.041733	0.034370	76.923077	10	1.272727	38.461538	0.386368	0.301937	0.046860	0.000100	23.076923	3	3.500000	92.307692
846	subject_switch_lexical_results_v1	30	30	0	0.395930	0.089162	3.661667	0.431257	0.328808	0.100616	0.067400	34.482759	10	2.727273	82.758621	0.434961	0.309194	0.054695	0.165756	31.034483	9	3.000000	96.551724
847	subject_switch_lexical_results_v1	25	25	0	0.452715	0.105346	3.799200	0.525002	0.351512	0.122179	0.081780	41.666667	10	2.272727	95.833333	0.525513	0.307119	0.147094	0.021850	33.333333	8	2.777778	100.000000
848	subject_switch_lexical_results_v1	30	30	0	0.535439	0.201724	3.815667	0.612250	0.389499	0.284547	0.044360	34.482759	10	2.727273	86.206897	0.590347	0.362873	0.211355	0.171457	24.137931	7	3.750000	93.103448
849	subject_switch_lexical_results_v1	26	25	1	0.421268	0.059496	3.861154	0.452498	0.340963	0.060783	0.056186	28.000000	7	3.250000	100.000000	0.435310	0.318294	0.055427	0.089333	12.000000	3	6.500000	104.000000
850	subject_switch_lexical_results_v1	10	10	0	0.323338	0.159822	3.653000	0.372742	0.309223	0.309500	0.117057	77.777778	7	1.250000	33.333333	0.369248	0.265951	0.197160	0.113150	44.444444	4	2.000000	77.777778
851	subject_switch_lexical_results_v1	31	31	0	0.424670	0.105137	3.575165	0.446175	0.374494	0.128338	0.051000	30.000000	9	3.100000	93.333333	0.476151	0.321708	0.129990	0.055430	33.333333	10	2.818182	86.666667
852	subject_switch_lexical_results_v1	25	25	0	0.417302	0.062875	3.681200	0.481356	0.363102	0.060791	0.064638	54.166667	13	1.785714	70.833333	0.447231	0.344617	0.080324	0.020500	29.166667	7	3.125000	95.833333
853	subject_switch_lexical_results_v1	10	10	0	0.454552	0.027867	3.994000	0.487562	0.339015	0.000100	0.125050	22.222222	2	3.333333	100.000000	0.475494	0.381254	0.000100	0.125050	22.222222	2	3.333333	111.111111
854	subject_switch_lexical_results_v1	22	21	1	0.393418	0.094448	3.895000	0.456157	0.336382	0.080420	0.107200	52.380952	11	1.833333	76.190476	0.426707	0.286894	0.081537	0.135760	23.809524	5	3.666667	104.761905
855	subject_switch_lexical_results_v1	29	28	1	0.417617	0.081729	3.628621	0.480808	0.354427	0.060957	0.102500	50.000000	14	1.933333	75.000000	0.453630	0.341590	0.096805	0.049900	32.142857	9	2.900000	96.428571
856	subject_switch_lexical_results_v1	19	19	0	0.381002	0.040428	4.044737	0.435326	0.353840	0.041750	0.039767	66.666667	12	1.461538	55.555556	0.388672	0.319640	0.035056	0.083400	11.111111	2	6.333333	100.000000
857	subject_switch_lexical_results_v1	13	13	0	0.358670	0.044525	4.054615	0.461927	0.307041	0.041750	0.045912	66.666667	8	1.444444	66.666667	0.435731	0.303626	0.073400	0.023900	58.333333	7	1.625000	66.666667
858	subject_switch_lexical_results_v1	22	19	3	0.430576	0.055405	3.878636	0.523977	0.327835	0.044236	0.067690	47.619048	10	2.000000	90.476190	0.509032	0.325969	0.057217	0.052989	42.857143	9	2.200000	95.238095
859	subject_switch_lexical_results_v1	28	27	1	0.462438	0.093363	3.772143	0.512792	0.318567	0.118865	0.020500	25.925926	7	3.500000	92.592593	0.485678	0.360178	0.105473	0.040080	18.518519	5	4.666667	100.000000
860	subject_switch_lexical_results_v1	16	16	0	0.416967	0.039607	3.845000	0.482932	0.318019	0.027867	0.057217	40.000000	6	2.285714	86.666667	0.431689	0.358079	0.020925	0.114333	20.000000	3	4.000000	100.000000
861	subject_switch_lexical_results_v1	16	15	1	0.488448	0.121167	3.870006	0.551582	0.362180	0.066730	0.230040	33.333333	5	2.666667	93.333333	0.541899	0.341456	0.119755	0.125050	26.666667	4	3.200000	100.000000
862	subject_switch_lexical_results_v1	22	21	1	0.433024	0.092571	3.834091	0.509283	0.363697	0.072560	0.110764	52.380952	11	1.833333	76.190476	0.499256	0.325397	0.053277	0.156425	38.095238	8	2.444444	95.238095
863	subject_switch_lexical_results_v1	23	22	1	0.429525	0.066218	4.001739	0.515420	0.343630	0.101182	0.031255	50.000000	11	1.916667	86.363636	0.490275	0.356625	0.076100	0.054360	45.454545	10	2.090909	86.363636
864	subject_switch_lexical_results_v1	22	22	0	0.404510	0.080657	3.918182	0.452256	0.361104	0.067930	0.092227	52.380952	11	1.833333	71.428571	0.453103	0.325547	0.073331	0.092562	38.095238	8	2.444444	95.238095
865	subject_switch_lexical_results_v1	18	18	0	0.383221	0.094453	3.856111	0.474439	0.345214	0.139320	0.075758	70.588235	12	1.384615	52.941176	0.409074	0.321174	0.123358	0.025080	29.411765	5	3.000000	94.117647
866	subject_switch_lexical_results_v1	21	21	0	0.419371	0.081380	3.795238	0.470797	0.391680	0.103800	0.069308	65.000000	13	1.500000	60.000000	0.484545	0.339715	0.129709	0.022311	45.000000	9	2.100000	85.000000
867	subject_switch_lexical_results_v1	28	28	0	0.404822	0.053907	3.775357	0.451965	0.310534	0.063622	0.034478	33.333333	9	2.800000	88.888889	0.448829	0.300305	0.067795	0.020925	29.629630	8	3.111111	92.592593
868	subject_switch_lexical_results_v1	18	17	1	0.457738	0.070794	3.636111	0.517795	0.313602	0.086367	0.033420	29.411765	5	3.000000	100.000000	0.508834	0.335108	0.072483	0.066740	29.411765	5	3.000000	94.117647
869	subject_switch_lexical_results_v1	25	23	2	0.421396	0.058208	4.000000	0.484691	0.358102	0.036983	0.079433	50.000000	12	1.923077	79.166667	0.446086	0.347327	0.059067	0.055633	25.000000	6	3.571429	91.666667
870	subject_switch_lexical_results_v1	22	22	0	0.402539	0.051357	3.756364	0.443331	0.336252	0.059838	0.037575	38.095238	8	2.444444	90.476190	0.466197	0.317661	0.040442	0.065911	42.857143	9	2.200000	85.714286
