Model,k
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.5_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.5_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.5_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.5_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.5_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.75_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.75_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.75_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.75_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=0.75_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=1.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=1.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=1.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=1.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.2_rise=1.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.5_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=0.75_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.30000000000000004_rise=1.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.5_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.5_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.5_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.5_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.5_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.75_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.75_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.75_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.75_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=0.75_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=1.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=1.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=1.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=1.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.4_rise=1.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.5_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.5_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.5_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.5_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.5_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.75_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.75_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.75_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.75_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=0.75_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=1.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=1.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=1.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=1.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.5_rise=1.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.0_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.25_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.5_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.5_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.5_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.5_fall=0.75,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.5_fall=1.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.75_fall=0.0,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.75_fall=0.25,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.75_fall=0.5,5
forage_dynamic_multimodaldelta_alpha=0.6000000000000001_rise=0.75_fall=0.75,5
