Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
4.0,,,,,,,,multimodal_alpha=0.5,4,3.6,0.4898979485566356
4.0,,,,,,,,multimodal_alpha=0.6000000000000001,4,3.6,0.4898979485566356
4.0,,,,,,,,multimodal_alpha=0.7000000000000001,4,3.6,0.4898979485566356
4.0,,,,,,,,multimodal_alpha=0.8,4,3.6,0.4898979485566356
4.0,,,,,,,,multimodal_alpha=0.9,5,3.0,1.1547005383792515
4.0,,,,,,,,multimodal_alpha=1.0,5,3.0,1.1547005383792515
4.0,,,,,,,,norms_associative,12,1.5,0.8660254037844386
4.0,,,,,,,,norms_categorical,12,1.5,0.8660254037844386
4.0,,,,,,,,simdrop,5,3.0,1.1547005383792515
5.0,0.4545947742068399,0.09602276994359059,5.823912661669231,1.132379352477674,0.15074,0.02860721936854402,20.0,delta_rise=0.0_fall=0.0,9,2.0,0.7745966692414834
5.0,,,,,,,,delta_rise=0.0_fall=0.25,8,2.2222222222222223,0.7856742013183862
5.0,,,,,,,,delta_rise=0.0_fall=0.5,7,2.5,1.224744871391589
5.0,,,,,,,,delta_rise=0.0_fall=0.75,7,2.5,1.224744871391589
5.0,,,,,,,,delta_rise=0.0_fall=1.0,7,2.5,1.224744871391589
5.0,,,,,,,,delta_rise=0.25_fall=0.0,11,1.6666666666666667,0.7453559924999299
5.0,,,,,,,,delta_rise=0.25_fall=0.25,10,1.8181818181818181,0.8331955809010619
5.0,,,,,,,,delta_rise=0.25_fall=0.5,8,2.2222222222222223,1.227262335243029
5.0,,,,,,,,delta_rise=0.25_fall=0.75,8,2.2222222222222223,1.227262335243029
5.0,,,,,,,,delta_rise=0.25_fall=1.0,8,2.2222222222222223,1.227262335243029
5.0,,,,,,,,delta_rise=0.5_fall=0.0,11,1.6666666666666667,0.7453559924999299
5.0,,,,,,,,delta_rise=0.5_fall=0.25,10,1.8181818181818181,0.8331955809010619
5.0,,,,,,,,delta_rise=0.5_fall=0.5,8,2.2222222222222223,1.227262335243029
5.0,,,,,,,,delta_rise=0.5_fall=0.75,8,2.2222222222222223,1.227262335243029
5.0,,,,,,,,delta_rise=0.5_fall=1.0,8,2.2222222222222223,1.227262335243029
5.0,,,,,,,,delta_rise=0.75_fall=0.0,13,1.4285714285714286,0.6226998490772391
5.0,,,,,,,,delta_rise=0.75_fall=0.25,12,1.5384615384615385,0.7457969011409736
5.0,,,,,,,,delta_rise=0.75_fall=0.5,10,1.8181818181818181,1.192261549873091
5.0,,,,,,,,delta_rise=0.75_fall=0.75,10,1.8181818181818181,1.192261549873091
5.0,,,,,,,,delta_rise=0.75_fall=1.0,10,1.8181818181818181,1.192261549873091
5.0,,,,,,,,delta_rise=1.0_fall=0.0,14,1.3333333333333333,0.47140452079103173
5.0,,,,,,,,delta_rise=1.0_fall=0.25,13,1.4285714285714286,0.6226998490772391
5.0,,,,,,,,delta_rise=1.0_fall=0.5,11,1.6666666666666667,1.1055415967851332
5.0,,,,,,,,delta_rise=1.0_fall=0.75,11,1.6666666666666667,1.1055415967851332
5.0,,,,,,,,delta_rise=1.0_fall=1.0,11,1.6666666666666667,1.1055415967851332
5.0,,,,,,,,multimodal_alpha=0.0,0,20.0,0.0
5.0,,,,,,,,multimodal_alpha=0.1,5,3.3333333333333335,1.699673171197595
5.0,,,,,,,,multimodal_alpha=0.2,5,3.3333333333333335,1.699673171197595
5.0,,,,,,,,multimodal_alpha=0.30000000000000004,5,3.3333333333333335,1.699673171197595
5.0,,,,,,,,multimodal_alpha=0.4,6,2.857142857142857,1.1248582677159729
5.0,,,,,,,,multimodal_alpha=0.5,6,2.857142857142857,1.1248582677159729
5.0,,,,,,,,multimodal_alpha=0.6000000000000001,6,2.857142857142857,1.1248582677159729
5.0,,,,,,,,multimodal_alpha=0.7000000000000001,6,2.857142857142857,1.1248582677159729
5.0,,,,,,,,multimodal_alpha=0.8,6,2.857142857142857,1.2453996981544782
5.0,,,,,,,,multimodal_alpha=0.9,6,2.857142857142857,1.2453996981544782
5.0,,,,,,,,multimodal_alpha=1.0,6,2.857142857142857,1.2453996981544782
5.0,,,,,,,,norms_associative,8,2.5,1.9364916731037085
5.0,,,,,,,,norms_categorical,7,2.857142857142857,1.958758457257441
5.0,,,,,,,,simdrop,6,2.857142857142857,1.2453996981544782
6.0,0.45857304073112354,0.13370071837999653,5.816451183758672,0.9344188998875224,0.223,0.10705808392332326,26.0,delta_rise=0.0_fall=0.0,13,2.0,0.9607689228305228
6.0,,,,,,,,delta_rise=0.0_fall=0.25,12,2.0,0.9607689228305228
6.0,,,,,,,,delta_rise=0.0_fall=0.5,11,2.1666666666666665,1.2801909579781015
6.0,,,,,,,,delta_rise=0.0_fall=0.75,9,2.6,2.0591260281974
6.0,,,,,,,,delta_rise=0.0_fall=1.0,7,3.25,2.1065374432940898
6.0,,,,,,,,delta_rise=0.25_fall=0.0,15,1.7333333333333334,0.7717224601860151
6.0,,,,,,,,delta_rise=0.25_fall=0.25,14,1.7333333333333334,0.7717224601860151
6.0,,,,,,,,delta_rise=0.25_fall=0.5,13,1.8571428571428572,1.1248582677159729
6.0,,,,,,,,delta_rise=0.25_fall=0.75,9,2.6,2.0591260281974
6.0,,,,,,,,delta_rise=0.25_fall=1.0,7,3.25,2.1065374432940898
6.0,,,,,,,,delta_rise=0.5_fall=0.0,18,1.4444444444444444,0.6849348892187752
6.0,,,,,,,,delta_rise=0.5_fall=0.25,17,1.4444444444444444,0.6849348892187752
6.0,,,,,,,,delta_rise=0.5_fall=0.5,17,1.4444444444444444,0.6849348892187752
6.0,,,,,,,,delta_rise=0.5_fall=0.75,14,1.7333333333333334,1.5260697523012796
6.0,,,,,,,,delta_rise=0.5_fall=1.0,12,2.0,1.7097008285302207
6.0,,,,,,,,delta_rise=0.75_fall=0.0,18,1.4444444444444444,0.6849348892187752
6.0,,,,,,,,delta_rise=0.75_fall=0.25,17,1.4444444444444444,0.6849348892187752
6.0,,,,,,,,delta_rise=0.75_fall=0.5,17,1.4444444444444444,0.6849348892187752
6.0,,,,,,,,delta_rise=0.75_fall=0.75,14,1.7333333333333334,1.5260697523012796
6.0,,,,,,,,delta_rise=0.75_fall=1.0,12,2.0,1.7097008285302207
6.0,,,,,,,,delta_rise=1.0_fall=0.0,19,1.368421052631579,0.6657426652986062
6.0,,,,,,,,delta_rise=1.0_fall=0.25,18,1.368421052631579,0.6657426652986062
