Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
2,forage_static,7.33918673129203,3.8945217198043838,,122.73952164868835
2,forage_dynamic_simdrop,7.5094273311114526,4.7294290951757185,,121.28423083882643
2,forage_dynamic_multimodal_alpha=0.0,7.2974559537957555,4.002621356267226,,124.09074879776253
2,forage_dynamic_multimodal_alpha=0.1,7.509433632805631,4.729428633302146,,121.28423083882339
2,forage_dynamic_multimodal_alpha=0.2,7.509436020345511,4.7294294638202095,,121.28423083882892
2,forage_dynamic_multimodal_alpha=0.30000000000000004,7.509432741215962,4.72942916927967,,121.28423083882304
2,forage_dynamic_multimodal_alpha=0.4,7.509428381715747,4.729428128497533,,121.28423083882461
2,forage_dynamic_multimodal_alpha=0.5,7.509435057562445,4.729429317552861,,121.28423083882646
2,forage_dynamic_multimodal_alpha=0.6000000000000001,7.509437918433903,4.729430967066642,,121.28423083884115
2,forage_dynamic_multimodal_alpha=0.7000000000000001,7.509434830822976,4.729429608262209,,121.2842308388267
2,forage_dynamic_multimodal_alpha=0.8,7.509433517315975,4.729429002866158,,121.28423083882353
2,forage_dynamic_multimodal_alpha=0.9,7.509444671426812,4.729425427688906,,121.2842308388773
2,forage_dynamic_multimodal_alpha=1.0,7.509435903186202,4.729428192532394,,121.28423083882743
2,forage_dynamic_norms_associative,7.51758633164811,4.970299742435035,,124.9426879870992
2,forage_dynamic_norms_categorical,7.517589182467195,4.970299696453938,,124.9426879871037
2,forage_dynamic_delta_rise=0.0_fall=0.0,7.46032909735528,5.056521459539368,,120.03477065211995
2,forage_dynamic_delta_rise=0.0_fall=0.25,7.460328336625314,5.056521157031538,,120.03477065211897
2,forage_dynamic_delta_rise=0.0_fall=0.5,7.460329889974684,5.056520833878529,,120.03477065212068
2,forage_dynamic_delta_rise=0.0_fall=0.75,7.494072733980915,4.9171119964157874,,120.15896592621397
2,forage_dynamic_delta_rise=0.0_fall=1.0,7.494072493664036,4.9171136724278846,,120.15896592621269
2,forage_dynamic_delta_rise=0.25_fall=0.0,7.4603229835772735,5.056520568656918,,120.0347706521228
2,forage_dynamic_delta_rise=0.25_fall=0.25,7.460326703780777,5.056520550929105,,120.03477065211862
2,forage_dynamic_delta_rise=0.25_fall=0.5,7.460323849917361,5.056521207345122,,120.0347706521209
2,forage_dynamic_delta_rise=0.25_fall=0.75,7.494080994804609,4.917112747553206,,120.15896592621046
2,forage_dynamic_delta_rise=0.25_fall=1.0,7.494074945831373,4.917116365003558,,120.15896592621962
2,forage_dynamic_delta_rise=0.5_fall=0.0,7.4603266429247785,5.056521705934013,,120.03477065211897
2,forage_dynamic_delta_rise=0.5_fall=0.25,7.4603291757735555,5.0565211619203225,,120.03477065211976
2,forage_dynamic_delta_rise=0.5_fall=0.5,7.460325441240612,5.056521034691503,,120.03477065211897
2,forage_dynamic_delta_rise=0.5_fall=0.75,7.494079847142305,4.91711583504861,,120.15896592621743
2,forage_dynamic_delta_rise=0.5_fall=1.0,7.494087769588695,4.917112872838323,,120.15896592623515
