"word","distance_to_centroid","distance_to_domain","distance_to_first_item","Subject"
"bird",0.71250316840225,1.07379314834099,0,801
"cat",0.698513405679016,1.01920890619539,0.998394950185039,801
"dog",0.695634432656668,0.926940359120858,1.01009507359507,801
"horse",0.687962616687117,0.965888696108949,1.03166722939908,801
"duck",0.767373075166151,1.17873004365005,0.997776523657026,801
"butterfly",0.816508623629755,1.17392380856495,1.10111406453435,801
"squirrel",0.795752865439185,1.1857650114949,1.03780467699259,801
"monkey",0.762660252956431,1.07765782046529,1.12226294237765,801
"ant",0.792260603371732,1.18589992980761,1.15208354875144,801
"anteater",0.797590699321529,1.10601893960943,1.11592347297557,801
"beetle",0.849163087009746,1.21702995763416,1.14947882417461,801
"pig",0.722928937452862,1.1056965981979,1.17066025152139,801
"cow",0.726606253256446,1.03939429814665,1.10907976038654,801
"chicken",0.723797143846342,1.12164530625985,0.961245701408951,801
"hen",0.733175096242167,1.13780170119715,0.949414193318464,801
"bull",0.818497384553676,1.15566818750897,1.15758998373332,801
"frog",0.755032733748505,1.09311266529606,1.05101772390089,801
"leopard",0.792591387289003,1.13797163209713,0,802
"jaguar",0.796475942954398,1.22303102406277,1.00538807138604,802
"ocelot",0.853480905697436,1.23998855390369,1.1810374298605,802
"pigeon",0.723041211510749,1.12021210941644,1.1595870116642,802
"dove",0.842354685005144,1.21896233981625,1.1742516016876,802
"dog",0.757429393176362,0.926940359120858,1.14684930401292,802
"cat",0.744700914227868,1.01920890619539,1.14684051248395,802
"lizard",0.805292646668368,1.15827964655824,1.09440530921042,802
"chicken",0.765030134231767,1.12164530625985,1.25439729321857,802
"jungle fowl",0.81645506286909,1.16823744170484,1.14089409844755,802
"pelican",0.78170509378193,1.16326890343458,1.21530546941633,802
"seagull",0.750977394937301,1.20116823669497,1.21526262971467,802
"fish",0.721326278013314,0.98859879554237,1.15220661506591,802
"dog",0.74092415355335,0.926940359120858,0,803
"cat",0.740967022155982,1.01920890619539,0.867457595158494,803
"gerbil",0.7515392306978,1.1190891012329,1.06847284925107,803
"ferret",0.754383016913835,1.15848646747173,1.10725467719149,803
"guinea pig",0.767872849210999,1.0762220833286,1.06985844792638,803
"fish",0.712281602164293,0.98859879554237,0.991729370751397,803
"salmon",0.853255943559132,1.24305737962748,1.17933544478502,803
"bass",0.833289803844496,1.18137962304228,1.16292166583625,803
"walleye",0.81804929922789,1.24706719126497,1.25064055864204,803
"bluegill",0.799005519766365,1.25691282615943,1.22883565632888,803
"mouse",0.742124636558152,1.10481593397117,1.00358886691622,803
"rat",0.702904658513316,1.07995102832886,1.00412039494565,803
"hamster",0.712638622114533,1.09038119952137,1.03307469530268,803
"crocodile",0.758273545879666,1.14277096325739,1.10561877282043,803
"alligator",0.753856958717867,1.17218049712303,1.11561137194911,803
"caiman",0.807440927537967,1.17838685568862,1.1696234876642,803
"bat",0.787519270134897,1.14760293454915,1.08672150474628,803
