"Participant","Cluster","Items","total_items","cum_items","perc_items"
"820",9,3,31,23,0.741935483870968
"820",10,8,31,31,1
"821",1,2,20,2,0.1
"821",2,1,20,3,0.15
"821",3,1,20,4,0.2
"821",4,1,20,5,0.25
"821",5,5,20,10,0.5
"821",6,2,20,12,0.6
"821",7,2,20,14,0.7
"821",8,2,20,16,0.8
"821",9,1,20,17,0.85
"821",10,3,20,20,1
"822",1,3,24,3,0.125
"822",2,3,24,6,0.25
"822",3,7,24,13,0.541666666666667
"822",4,1,24,14,0.583333333333333
"822",5,1,24,15,0.625
"822",6,1,24,16,0.666666666666667
"822",7,1,24,17,0.708333333333333
"822",8,7,24,24,1
"823",1,4,24,4,0.166666666666667
"823",2,3,24,7,0.291666666666667
"823",3,1,24,8,0.333333333333333
"823",4,1,24,9,0.375
"823",5,5,24,14,0.583333333333333
"823",6,1,24,15,0.625
"823",7,3,24,18,0.75
"823",8,6,24,24,1
"824",1,1,20,1,0.05
"824",2,1,20,2,0.1
"824",3,1,20,3,0.15
"824",4,4,20,7,0.35
"824",5,1,20,8,0.4
"824",6,2,20,10,0.5
"824",7,2,20,12,0.6
"824",8,1,20,13,0.65
"824",9,6,20,19,0.95
"824",10,1,20,20,1
"825",1,2,25,2,0.08
"825",2,5,25,7,0.28
"825",3,1,25,8,0.32
"825",4,1,25,9,0.36
"825",5,5,25,14,0.56
"825",6,8,25,22,0.88
"825",7,2,25,24,0.96
"825",8,1,25,25,1
"826",1,1,19,1,0.0526315789473684
"826",2,1,19,2,0.105263157894737
"826",3,6,19,8,0.421052631578947
"826",4,1,19,9,0.473684210526316
"826",5,2,19,11,0.578947368421053
"826",6,1,19,12,0.631578947368421
"826",7,3,19,15,0.789473684210526
"826",8,1,19,16,0.842105263157895
"826",9,3,19,19,1
"827",1,3,21,3,0.142857142857143
"827",2,4,21,7,0.333333333333333
"827",3,1,21,8,0.380952380952381
"827",4,5,21,13,0.619047619047619
"827",5,1,21,14,0.666666666666667
"827",6,1,21,15,0.714285714285714
"827",7,2,21,17,0.80952380952381
"827",8,1,21,18,0.857142857142857
"827",9,3,21,21,1
"828",1,2,24,2,0.0833333333333333
"828",2,1,24,3,0.125
"828",3,6,24,9,0.375
"828",4,2,24,11,0.458333333333333
"828",5,2,24,13,0.541666666666667
"828",6,1,24,14,0.583333333333333
"828",7,4,24,18,0.75
"828",8,5,24,23,0.958333333333333
