"Subject","Model","Beta_Frequency","Beta_Semantic","Beta_Phonological","Negative_Log_Likelihood_Optimized","version","k","n","BIC"
860,"forage_phonologicaldynamiclocal_troyerextended",4.46661034880631,6.30147704823015,-0.403191538627569,91.7554379812051,"V1",3,16,191.82864212913
861,"forage_phonologicaldynamiclocal_troyerextended",0.0236267396560268,7.6949051332374,-0.336469092497203,95.5432550602386,"V1",3,16,199.404276287196
862,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.0_fall=0.75",5.24086286619985,6.58626983829226,-0.251695568798975,122.627485031362,"V1",6,22,263.801224782874
863,"forage_phonologicaldynamicglobal_troyerextended",5.83085848104676,5.60612405536249,-0.177006092430574,127.552672167128,"V1",3,23,264.511826982044
865,"forage_dynamic_troyerextended",5.80901227711717,4.87882335082711,NA,112.265091518625,"V1",2,18,230.310926553043
866,"forage_phonologicaldynamicglobal_multimodaldelta_alpha=0.7000000000000001_rise=0.0_fall=0.5",4.90692287863879,5.49523426413787,-0.159155665236552,122.321949499923,"V1",6,21,262.911033626187
867,"forage_phonologicaldynamicglobal_troyerextended",4.85477909534318,4.81447827928956,-0.12047884131618,167.915771986061,"V1",3,28,345.828157502647
868,"forage_phonologicaldynamicglobal_troyerextended",3.75494388257291,5.76613297565567,-0.15757177471464,103.624583560437,"V1",3,18,215.920282394562
869,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=1.0_fall=1.0",6.02138872136215,8.85178087493392,-0.654116255173642,131.05812063978,"V1",6,25,281.429496228769
870,"forage_dynamic_troyerextended",4.78218789128305,4.1023091328302,NA,135.047356482805,"V1",2,22,276.276797872326
871,"forage_dynamic_troyerextended",4.99894620731218,3.39071813533565,NA,98.6100506116194,"V1",2,15,202.636201625443
872,"forage_phonologicaldynamicswitch_multimodaldelta_alpha=0.9_rise=0.75_fall=1.0",3.32110834730785,4.5494004640261,0.303512230474011,140.853193398582,"V1",6,22,300.252641517314
873,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=1.0_fall=0.0",7.61216675982967,11.5722039785773,-0.720735807352533,88.9735284465737,"V1",6,17,194.946336957485
874,"forage_dynamic_troyerextended",0.136069009109177,4.29502649804231,NA,181.791172075935,"V1",2,26,370.098537227913
875,"forage_phonologicaldynamiclocal_troyerextended",3.6628383281152,7.76888651193166,-0.356043252857414,170.143366154585,"V1",3,31,350.588693922626
876,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.25_fall=0.5",6.60896274329261,10.2527236551335,-0.702780088293385,79.6329081204321,"V1",6,17,176.265096305201
877,"forage_dynamic_troyerextended",4.7113985059334,4.2295207197477,NA,173.781472514859,"V1",2,28,354.227354050069
878,"forage_phonologicaldynamiclocal_troyerextended",5.23561237469077,6.10420685168672,-0.265417631956059,133.037882617224,"V1",3,23,275.482247882236
879,"forage_dynamic_multimodaldelta_alpha=0.8_rise=0.0_fall=0.75",4.00414726575425,4.32214366227281,NA,76.1838424934814,"V1",5,12,164.792218235903
