Category,Item
birdsBats,mousebird
birdsBats,myna
birdsBats,nightingale
birdsBats,oriole
birdsBats,osprey
birdsBats,ostrich
birdsBats,owl
birdsBats,pacific golden plover
birdsBats,parakeet
birdsBats,parrot
birdsBats,partridge
birdsBats,peacock
birdsBats,pelican
birdsBats,penguin
birdsBats,peregrine
birdsBats,peregrine falcon
birdsBats,pheasant
birdsBats,pigeon
birdsBats,puffin
birdsBats,quail
birdsBats,quetzal
birdsBats,raptor
birdsBats,raven
birdsBats,red tailed hawk
birdsBats,rhea
birdsBats,roadrunner
birdsBats,robin
birdsBats,rooster
birdsBats,rosy finch
birdsBats,sandpiper
birdsBats,screech owl
birdsBats,seagull
birdsBats,shrike
birdsBats,snow goose
birdsBats,snowy owl
birdsBats,solitary sandpiper
birdsBats,song sparrow
birdsBats,songbird
birdsBats,sparrow
birdsBats,spoonbill
birdsBats,starling
birdsBats,stilt
birdsBats,stork
birdsBats,swallow
birdsBats,swallowtail
birdsBats,swamp sparrow
birdsBats,swan
birdsBats,swift
birdsBats,tanager
birdsBats,tern
birdsBats,thrush
birdsBats,toucan
birdsBats,tree sparrow
birdsBats,tufted titmouse
birdsBats,turkey
birdsBats,turkey vulture
birdsBats,vulture
birdsBats,wilsons snipe
birdsBats,woodpecker
birdsBats,wren
bovineDeer,african buffalo
bovineDeer,american bison
bovineDeer,antelope
bovineDeer,bighorn sheep
bovineDeer,billy goat
bovineDeer,bison
bovineDeer,black tailed deer
bovineDeer,buck
bovineDeer,buffalo
bovineDeer,bull
bovineDeer,bullock
bovineDeer,calf
bovineDeer,caribou
bovineDeer,cattle
bovineDeer,chamois
bovineDeer,cow
bovineDeer,deer
bovineDeer,dik dik
bovineDeer,doe
bovineDeer,duiker
bovineDeer,eland
bovineDeer,elk
bovineDeer,ewe
bovineDeer,fawn
bovineDeer,gaur
bovineDeer,gazelle
bovineDeer,gnu
bovineDeer,goat
bovineDeer,heifer
bovineDeer,holstein cow
bovineDeer,impala
bovineDeer,jersey cow
bovineDeer,kongoni
bovineDeer,kudu
bovineDeer,lamb
bovineDeer,moose
bovineDeer,mountain goat
bovineDeer,mule deer
bovineDeer,muskox
bovineDeer,oryx
bovineDeer,ox
bovineDeer,pronghorn
bovineDeer,ram
bovineDeer,red deer
bovineDeer,reindeer
