word,distance_to_centroid,distance_to_domain,distance_to_first_item,ID
alpaca,0.82239520786158,1.1749418382249637,0.0,2
bear,0.790764016563342,1.123889483266586,1.2160801148326426,2
bruin,0.889070241401752,1.2644924734467433,1.1829682316356367,2
antelope,0.7150891565155978,1.092199807953824,0.9759222353960018,2
anteater,0.7656739069805691,1.1060189396094344,1.111101451515088,2
ant,0.8149866915237521,1.1858999298076058,1.1571557144377271,2
cow,0.7474299556231558,1.0393942981466475,1.1610000942105072,2
cat,0.7650643079441322,1.0192089061953933,1.2080873143916264,2
dog,0.7690871526669866,0.9269403591208584,1.1916374368783493,2
chicken,0.7772714695282821,1.1216453062598462,1.1880421039951554,2
rooster,0.7810506187857088,1.1265732474521417,1.1837995799904253,2
ox,0.8584621296935029,1.2273385680756248,1.1698879630907697,2
zebra,0.7809901735368322,1.1176582885897683,1.151827873561321,2
tiger,0.7713353957763409,1.1369978991343088,1.2161581459052229,2
lion,0.7436808523531786,1.058551939504521,1.110460821929974,2
quail,0.8136660438514597,1.2262037759898594,1.1179440419631377,2
peacock,0.7993449944265802,1.168361254856803,1.1482058589659327,2
monkey,0.7135918466719453,1.0776578204652905,1.2388420505639781,2
ape,0.7936952197694883,1.156598483866005,1.2966441531441717,2
chimpanzee,0.7353553840210592,1.087170527798375,1.148261949844126,2
kangaroo,0.7414357391172204,1.1105409242026874,1.08454270039499,2
koala,0.7860969298960541,1.1895973867495286,1.093396889311355,2
cow,0.7283911673337703,1.0393942981466475,0.0,4
pig,0.7582745243681541,1.1056965981978975,0.9929126781291894,4
chicken,0.7387982050311712,1.1216453062598462,1.0162881855174162,4
giraffe,0.8198922522085529,1.1884427465885492,1.1305682336689118,4
elephant,0.7260005530290183,1.0461949098088636,0.9669719308234811,4
panda,0.834979382018005,1.149531493643352,1.18345708984184,4
turtle,0.7551624533348167,1.1889045258357533,1.1199022038257016,4
fish,0.7117588731826425,0.9885987955423701,1.0275478231387047,4
snake,0.7454507388096073,1.1086529518216863,1.0499391336545345,4
cat,0.7155804472408054,1.0192089061953933,1.058624590599432,4
dog,0.7063473939931213,0.9269403591208584,1.0414556531936192,4
horse,0.6950625314858134,0.965888696108949,0.9447555067617948,4
lion,0.7928777229800088,1.058551939504521,1.1724233012971674,4
shrimp,0.8143170953474188,1.2163904981538947,1.1702461594303273,4
starfish,0.8283057605002826,1.201700587530752,1.1926108583154478,4
spider,0.7837684056435972,1.1726798248185308,1.1171039442859554,4
